SA1_7DIGITCODE_2016	employmentToPopulation
1143627	66.3
1143628	46.2
1143630	51.2
1143631	57.1
1143632	50.2
1143633	53.5
1143634	64.3
1143635	66.2
1143636	62.4
1143637	70.5
1143638	28.9
1143639	28.1
1143640	56.7
1143641	60.7
1143642	72.3
1143643	48.8
1143644	63.8
1143645	60.9
1143646	67.3
1143701	56.9
1143702	53.4
1143703	58.2
1143705	100
1143706	55.2
1143707	63.1
1143708	54.5
1143709	32
1143710	47.8
1143711	48.5
1143712	52
1143713	59.9
1143714	57.6
1143715	46.7
1143716	46.5
1143717	41.8
1143718	40.2
1143719	56.5
1143720	50.5
1143721	70.3
1143722	75
1143723	32.6
1143724	48.8
1143725	47.2
1143726	41.2
1143727	60.1
1143728	53.4
1143729	55.9
1143730	58.4
1143731	56.2
1143732	65.2
1143733	66.7
1143735	50.7
1143736	64.9
1143737	69.6
1143738	63
1143739	63.8
1143740	5.8
1143741	8.6
1143742	59.6
1143743	71.3
1143744	2.6
1143745	68.2
1143801	78.9
1143802	65.2
1143803	65.6
1143804	63
1143805	63.8
1143806	64.4
1143807	64.9
1143808	64.6
1143809	71.4
1143810	64.4
1143811	64.3
1143812	63.6
1143813	63.7
1143814	64.1
1143815	64.7
1143816	67.8
1143817	56.3
1143818	65.6
1143819	49.8
1143820	64.2
1143821	69.4
1143822	66.7
1143823	62.6
1143824	66.4
1143825	66.7
1143826	63.4
1143827	56
1143828	48.8
1143829	46.1
1143830	58.2
1143831	71.6
1143833	68.2
1143834	57.2
1143835	19.2
1143836	74.1
1143837	70.5
1143839	34.4
1143840	26.1
1143841	23.3
1143842	65.6
1143843	69.5
1143844	68.6
1143845	28.4
1143846	63.1
1143847	22.3
1143848	19.2
1143849	27
1143850	71.6
1143851	70.2
1143852	20.4
1143853	75.6
1143855	69.9
1143856	68.8
1143857	59.6
1143858	67.1
1143859	23.5
1144001	60.5
1144002	39
1144003	26.3
1144005	67.4
1144007	62.5
1144008	57.4
1144009	63.8
1144010	64.6
1144011	58.8
1144012	54.8
1144013	62.2
1144014	65.9
1144015	48
1144016	55.2
1144017	61
1144018	50.5
1144019	67.9
1144020	51
1144021	53.1
1144022	56.9
1144023	50.3
1144024	65.4
1144025	56.2
1144026	61.5
1144027	63.4
1144028	55.6
1144029	58.5
1144030	43.8
1144031	67.4
1144032	26.1
1144033	58.1
1144034	54.5
1144035	56.6
1144036	53.3
1144037	51.6
1144038	42
1144039	55.3
1144040	57.4
1144041	61
1144042	59.6
1144043	64.9
1144044	62.9
1144045	68.7
1144046	70
1144101	64.4
1144102	59.3
1144103	60.5
1144104	55.5
1144105	59.3
1144106	59.4
1144107	54.3
1144108	53.7
1144109	56.1
1144110	45.5
1144111	42.5
1144112	64.7
1144113	59.8
1144114	61
1144115	47.7
1144116	66.1
1144117	58.3
1144118	59
1144119	59.5
1144120	57.3
1144122	57.6
1144123	37
1144124	50.7
1144125	50.3
1144126	52.7
1144127	62.1
1144128	63.2
1144129	59.2
1144130	69.1
1144131	62.1
1144132	54
1144133	56.9
1144134	62.5
1144135	57.5
1144136	62.3
1144137	52.1
1144138	63.2
1144201	54
1144204	23.4
1144205	32.8
1144206	55.9
1144207	54.2
1144209	55.5
1144210	57.2
1144211	62.1
1144212	53.7
1144213	59.1
1144214	63.1
1144215	69.1
1144216	62.6
1144217	54.7
1144218	56.8
1144219	56.1
1144220	52.7
1144221	58.9
1144222	53.8
1144223	52.8
1144224	51.1
1144225	38.7
1144226	32.1
1144227	55.8
1144228	63.2
1144229	42.2
1144230	24.6
1144231	24.2
1144232	28.3
1144234	57.6
1144235	47.3
1144236	48.2
1144237	41.8
1144238	53.3
1144239	60.2
1144240	48.5
1144241	61.3
1144242	51
1144243	60.2
1144244	38.7
1144245	54.4
1144246	49.7
1144247	57.6
1144248	63
1144249	61.4
1144250	52.3
1144251	65.1
1144252	58.4
1144253	24.8
1144254	66.8
1144255	72.9
1144256	74
1144301	64.1
1144302	69
1144303	57.3
1144304	58.2
1144305	62.8
1144306	64.2
1144307	63.1
1144308	64.2
1144309	58.8
1144310	69
1144311	68.3
1144313	59.3
1144314	53.5
1144315	62
1144316	65.2
1144317	56.5
1144318	63.6
1144319	49
1144320	55.1
1144321	35.3
1144322	68.9
1144323	58.6
1144324	63.8
1144325	63.5
1144326	57.1
1144327	59.6
1144328	57.1
1144329	47.1
1144330	55.8
1144331	48
1144332	55.4
1144333	54.5
1144334	61.9
1144335	54.5
1144336	51.5
1144337	47.7
1144338	42.7
1144339	56.8
1144340	56.8
1144341	59
1144342	133.3
1144343	46.3
1144344	60
1144345	51.3
1144346	61.1
1144347	50.3
1144348	58.9
1144349	59.3
1144350	44.9
1144401	20
1144402	30.5
1144403	54.8
1144404	20.7
1144405	34.2
1144406	37.2
1144407	52.9
1144408	63.1
1144409	20.1
1144410	60.8
1144411	57.1
1144412	67.1
1144413	68.1
1144414	73.7
1144415	64.9
1144416	74
1144417	69
1144418	60.8
1144419	63.2
1144420	57.4
1144421	58.6
1144422	65.9
1144423	60.9
1144424	46.4
1144425	59
1144426	57.7
1144427	54.7
1144428	66.3
1144429	62.8
1144430	62.3
1144431	42.8
1144432	49.4
1144433	59.8
1144434	58.7
1144435	70.9
1144436	69.7
1144437	54.9
1144438	61.8
1144439	63.1
1144440	59.6
1144441	54.9
1144442	32.3
1144443	21.5
1144444	34.4
1144445	62.7
1144446	61.8
1144447	62.4
1144448	57.5
1144449	55
1144450	58.5
1144451	61.7
1144452	60.7
1144453	51.3
1144454	54.9
1144455	65.2
1144456	67.6
1144501	52.7
1144502	20.2
1144503	65.7
1144504	54.8
1144505	66.1
1144506	54.8
1144507	63.2
1144508	50
1144509	55.6
1144510	69.3
1144511	61.8
1144512	63.9
1144513	63.9
1144514	55.8
1144515	70.8
1144601	63.2
1144602	69.8
1144603	66
1144604	64.5
1144605	68.1
1144606	63.2
1144607	62.9
1144608	68.8
1144609	36.7
1144610	64.1
1144611	71.1
1144612	75.2
1144613	62.7
1144614	78.6
1144615	69.2
1144616	67.4
1144617	75.6
1144618	59.8
1144619	74.5
1144701	72
1144702	55.4
1144703	48.9
1144704	66.7
1144705	67.1
1144706	54
1144707	63.6
1144708	53.4
1144709	66.1
1144710	60.5
1144711	38.6
1144712	36.7
1144713	48.5
1144714	64.3
1144715	71.1
1144716	58.5
1144717	66.5
1144718	60.5
1144719	62.6
1144720	59.9
1144721	49.5
1144722	64.7
1144723	68.2
1144724	71.8
1144725	59
1144726	64.7
1144727	55
1144728	50.1
1144729	43.9
1144730	60.2
1144731	54.5
1144733	57.7
1144734	67
1144735	72.6
1144736	67.4
1144737	68.6
1144738	52
1144739	54.3
1144740	63.5
1144741	63.7
1144742	63.8
1144743	52.5
1144801	68.7
1144802	72
1144803	71.2
1144804	63.4
1144805	66.8
1144806	64.9
1144807	61.9
1144808	59.1
1144809	69.9
1144810	70.3
1144811	67.4
1144812	71.3
1144813	52.6
1144814	61.9
1144815	66.2
1144816	69.2
1144817	70.1
1144818	59.4
1144819	61.8
1144820	63.3
1144821	66.3
1144822	62.5
1144823	65.4
1144824	62.6
1144901	47.7
1144902	53.7
1144903	46.5
1144904	49.9
1144905	49.1
1144906	49.1
1144907	52.1
1144908	32.9
1144909	53
1144910	44.9
1144911	52.4
1144912	52.3
1144913	46.3
1144914	52.3
1144915	46.8
1145001	57.2
1145002	50.3
1145003	64
1145004	75.9
1145005	60.1
1145006	60
1145007	54.4
1145008	63.3
1145009	68.7
1145010	52.6
1145011	62.9
1145012	64.2
1145013	62.8
1145014	67.7
1145015	59.9
1145016	51.9
1145017	59.2
1145018	63.2
1145019	58.6
1145020	69.1
1145021	51.2
1145022	61.5
1145023	60.4
1145024	59.2
1145025	66.7
1145026	60.4
1145027	61.6
1145028	53.1
1145029	73.9
1145030	61.9
1145031	62.7
1145032	70.3
1145033	69.2
1145034	60.8
1145036	64.1
1145037	69
1145038	70.6
1145040	68
1145041	65.5
1145042	72.5
1145043	74.7
1145044	60
1145045	69.9
1145046	65.7
1145047	66.4
1145048	63.4
1145049	56.4
1145050	60.1
1145051	54.1
1145101	28.6
1145201	53.8
1145202	51.8
1145203	51.6
1145204	59.6
1145205	51.9
1145206	43
1145207	53.1
1145208	47.9
1145209	51.4
1145210	53
1145211	43.3
1145212	51.5
1145213	49.7
1145214	44.9
1145215	42.9
1145216	55.4
1145217	47.1
1145218	49.8
1145219	45.6
1145220	52.1
1145221	57.3
1145222	40
1145223	54.3
1145224	38.8
1145225	40.2
1145226	45.2
1145227	48.7
1145228	39.7
1145229	43.8
1145230	33.9
1145231	53
1145232	55.2
1145233	61
1145234	47.1
1145235	57.4
1145236	53.6
1145237	39.3
1145301	63.6
1145302	60.8
1145303	58.1
1145304	57.2
1145305	55.9
1145306	58.4
1145307	55.1
1145308	61.3
1145309	64.8
1145310	61
1145311	55.9
1145312	64.3
1145313	64.9
1145314	54.1
1145315	59
1145316	57.7
1145318	62.5
1145319	52.3
1145320	61.6
1145321	60.9
1145322	57.7
1145323	58
1145324	57
1145325	65.8
1145326	62.1
1145327	60.3
1145328	60.7
1145401	64.9
1145402	62.3
1145403	65.2
1145404	59.9
1145405	62.7
1145406	69.1
1145407	67.2
1145408	68.5
1145409	70.8
1145410	63.7
1145411	67.4
1145412	58.6
1145413	70.2
1145414	52.6
1145415	50.3
1145416	61.7
1145417	59.7
1145418	59.7
1145419	61
1145420	59
1145421	51.1
1145422	62.3
1145423	56.3
1145424	64.1
1145425	60.2
1145426	58.6
1145427	38.7
1145428	64.9
1145429	62.6
1145430	64.6
1145431	72.5
1145432	59.8
1145433	66.4
1145434	17.6
1145435	62.2
1145436	62.4
1145437	60
1145438	68.2
1145439	70.4
1145440	70.5
1145441	60.9
1145442	62.1
1145443	59.1
1145444	60.5
1145445	59.8
1145446	61.4
1145447	60.6
1145448	72.6
1145449	61.6
1145450	69.8
1145451	28.2
1145501	50.1
1145502	59.8
1145503	53.8
1145504	58.4
1145505	56.9
1145506	48.8
1145507	50.6
1145508	43.3
1145509	53.9
1145510	28.5
1145511	51.9
1145512	52.7
1145513	49.5
1145514	55.6
1145515	31.1
1145701	70.4
1145702	68.3
1145703	70.3
1145704	52
1145705	57.3
1145706	64
1145707	62.3
1145708	59.6
1145709	55.3
1145710	66.8
1145711	61.8
1145712	63.9
1145713	52.5
1145714	54.4
1145715	57.9
1145716	55.6
1145717	58.5
1145718	60.3
1145719	57.6
1145720	55.5
1145721	60.9
1145722	63.2
1145723	65.1
1145724	68.9
1145725	64.6
1145726	67.7
1145727	63.3
1145728	70.1
1145729	70.7
1145730	65.7
1145731	67
1145732	70.9
1145733	68.3
1145734	67.5
1145735	66.5
1145736	71
1145737	66.1
1145738	61.5
1145739	58.8
1145740	66.5
1145741	59.2
1145801	71.7
1145802	64.5
1145803	66.1
1145804	69.9
1145805	70.2
1145806	68.3
1145807	70.5
1145808	66
1145809	56.1
1145810	58.3
1145811	57.2
1145812	58.3
1145813	68
1145814	73.8
1145815	75.6
1145816	30.9
1145817	61.8
1145818	71.9
1145819	74
1145820	68.7
1145821	65.3
1145822	58.1
1145823	66.2
1145824	64.7
1145825	52.4
1145826	64.8
1145827	72.2
1145828	75.2
1145829	75.5
1145830	76
1145831	69
1145832	67.2
1145833	24.3
1145834	62.8
1145835	70.7
1145836	71.4
1145837	59.5
1145838	66.3
1145839	62.5
1145840	69.1
1145841	73.1
1145842	75.1
1145843	33
1145844	68.9
1145845	67
1145846	65.7
1145847	63.5
1145848	74.4
1145849	68.8
1145901	58.6
1145902	58.1
1145903	60.4
1145904	57.1
1145905	40.5
1145906	66.1
1145907	67.1
1145908	50.9
1145909	55.4
1145910	59.9
1145911	63.8
1145912	54.5
1145913	61.6
1145914	68.5
1145915	69.7
1145916	80.8
1145917	65.9
1145918	59.6
1145919	73
1145920	66.2
1145921	65.5
1145922	64.2
1145923	64.3
1145924	68.4
1145925	70.4
1145926	63.5
1145927	70.9
1145928	57.3
1145929	56.3
1145930	60.9
1145931	63
1145932	11.2
1145933	77
1145934	72.6
1146001	76.2
1146002	66.1
1146003	65.7
1146004	74.3
1146005	79.2
1146006	74.3
1146007	68.4
1146008	77.4
1146009	72.5
1146010	69.7
1146011	66.4
1146012	76
1146013	71.7
1146014	71
1146015	71.2
1146016	73.4
1146018	76.2
1146019	66.3
1146020	72.9
1146021	65.4
1146022	62.7
1146023	73.8
1146024	74.7
1146025	74.9
1146026	69
1146027	64
1146028	74.7
1146029	68.5
1146030	68.7
1146031	73.9
1146032	70.4
1146033	73
1146034	67.8
1146035	76.1
1146036	70.7
1146037	76.4
1146038	68.4
1146039	66.2
1146040	71.4
1146041	74.4
1146042	76.7
1146043	71.8
1146044	70.9
1146045	70.2
1146046	67.8
1146047	75.7
1146048	79.9
1146049	74
1146101	56.5
1146102	66.1
1146103	65.9
1146104	64
1146105	61.2
1146106	69.1
1146107	61.5
1146108	62
1146109	62.5
1146110	63.4
1146111	58.4
1146112	67.7
1146113	56.7
1146114	59.1
1146115	56.6
1146116	70.2
1146117	60.8
1146118	56.6
1146119	58.7
1146120	57.1
1146121	58.6
1146122	59.9
1146123	60.2
1146124	62.8
1146125	61.6
1146126	62
1146127	53.3
1146128	57.7
1146129	41.4
1146130	52.4
1146131	68.9
1146132	66.1
1146134	50.4
1146135	54.3
1146136	57.5
1146137	66.9
1146138	51.9
1146139	61.2
1146140	20.4
1146141	59.3
1146202	58.7
1146203	59.9
1146204	57.9
1146205	60.6
1146206	42.5
1146207	56.7
1146208	60
1146209	64.1
1146210	60.5
1146211	57.1
1146212	57.5
1146213	53.7
1146214	59.1
1146217	61.3
1146218	55.6
1146219	58.3
1146220	60.8
1146221	59.7
1146223	63.7
1146224	46.4
1146225	44.5
1146226	61.7
1146227	42.7
1146228	56.8
1146229	71.1
1146230	67.8
1146231	66.5
1146232	75.9
1146233	69.8
1146234	66.9
1146235	71.6
1146236	67.3
1146237	57.3
1146238	59.3
1146239	59.7
1146240	49.8
1146241	76.2
1146242	52.4
1146243	49.2
1146244	46.2
1146245	51.6
1146246	76.4
1146301	58.6
1146302	66.5
1146303	70.5
1146304	73.8
1146305	49.4
1146306	61.3
1146307	66.5
1146308	70.4
1146310	68.1
1146311	66.7
1146312	65
1146313	54.1
1146314	63.6
1146315	68.9
1146316	60.1
1146317	65.3
1146318	47.3
1146319	71.7
1146320	64.8
1146321	44.2
1146401	52.3
1146402	45.5
1146403	53.2
1146404	41
1146405	54.4
1146406	53
1146407	67.9
1146408	63.9
1146409	51.1
1146410	37.2
1146411	57.2
1146412	49.7
1146413	26.5
1146414	51.4
1146415	56.3
1146416	49.1
1146417	48
1146418	53.9
1146419	51.5
1146420	50.9
1146421	38.8
1146422	54.4
1146423	53.5
1146424	12.6
1146425	50
1146426	55.6
1146427	42.9
1146428	73.5
1146429	47.1
1146430	50.3
1146431	56.6
1146432	62.8
1146433	56.8
1146501	71.2
1146504	74.4
1146505	63.3
1146507	68.2
1146508	67.1
1146509	68.2
1146510	65.8
1146511	63.7
1146512	56
1146513	70.5
1146514	58.8
1146515	69.3
1146516	72.5
1146601	61.6
1146602	60.8
1146603	64.4
1146604	63.5
1146605	57.6
1146606	38.4
1146607	64.5
1146608	61.2
1146609	56.7
1146610	39.4
1146611	63.3
1146612	61.2
1146613	64
1146614	55.4
1146615	63.1
1146616	55.5
1146617	63.5
1146618	18.2
1146619	52.1
1146620	52.1
1146621	40.1
1146622	58.3
1146623	55.9
1146624	59
1146625	44
1146626	73.4
1146627	59.8
1146628	60.2
1146629	48.2
1146630	46.5
1146631	56.7
1146632	53.1
1146633	56.9
1146701	140
1146702	68
1146703	42.7
1146704	38.2
1146707	68.5
1146708	80
1146709	54
1146710	45.7
1146711	60.5
1146712	44.2
1146713	50.8
1146714	59.8
1146715	68.7
1146716	69.2
1146717	63.3
1146718	70.8
1146719	69.5
1146720	69.7
1146721	47.8
1146722	64.5
1146723	58.9
1146724	60.6
1146725	51.6
1146726	47.9
1146727	58
1146728	62.5
1146729	53
1146730	64.5
1146731	69.1
1146732	64.9
1146733	70.6
1146734	62.9
1146735	73.3
1146736	67.8
1146737	73.6
1146738	59.5
1146739	72.1
1146740	73.7
1146741	70.4
1146742	66.5
1146743	65.5
1146744	64.6
1146745	76.5
1146801	61.5
1146802	57.7
1146803	64.5
1146804	69.2
1146805	59.8
1146806	65.1
1146807	69.1
1146810	61.9
1146811	59.4
1146812	59.2
1146813	58.9
1146814	57.1
1146815	66.8
1146816	65.7
1146817	60.6
1146818	74.7
1146819	66.1
1146901	68.4
1146902	73.2
1146903	66
1146904	73.6
1146905	71.3
1146906	71.1
1146909	68
1146910	73.1
1146911	73.4
1146912	70.4
1146913	72.6
1146914	67.2
1146915	70.6
1146916	75.6
1146917	73.3
1146918	68
1146919	69.5
1146920	66.1
1147001	61.1
1147002	58.7
1147003	66.7
1147004	64.9
1147005	67.7
1147006	59.7
1147007	63.4
1147008	58.2
1147009	58
1147010	65.5
1147011	69.9
1147012	70.4
1147013	64.3
1147014	57.6
1147015	68.3
1147016	66.7
1147017	62.3
1147018	61.3
1147019	59.4
1147020	65.4
1147021	65.6
1147022	68.6
1147023	76.7
1147024	66.4
1147026	66.4
1147027	64.5
1147028	71.5
1147029	67.3
1147030	73.2
1147031	68.1
1147032	61.2
1147033	63.1
1147034	67.4
1147035	64.5
1147036	60.7
1147037	69.6
1147038	56
1147039	59.7
1147040	63.3
1147042	62.5
1147043	68.5
1147044	69.5
1147045	59.4
1147046	70
1147047	62.1
1147301	68.2
1147302	65.7
1147303	66.3
1147304	64.8
1147305	65.6
1147308	68.9
1147309	74.7
1147310	63
1147311	71.4
1147312	61
1147313	63.1
1147316	69.7
1147318	67.8
1147319	63.9
1147320	70.6
1147321	53.2
1147322	60
1147323	59.8
1147324	66.8
1147325	68.9
1147326	70.3
1147327	74.3
1147328	71.2
1147329	68.7
1147330	65.9
1147601	51
1147602	56.1
1147603	42.4
1147604	58.6
1147605	56.7
1147606	61.1
1147607	66.9
1147608	62.6
1147609	56.7
1147610	54.5
1147611	59.6
1147612	56.4
1147613	62
1147614	59.7
1147615	58.6
1147616	54.3
1147617	62.2
1147618	62.1
1147619	59
1147620	62.3
1147621	57.9
1147622	58.7
1147623	57.6
1147624	59.1
1147625	51.1
1147626	59.3
1147627	62.8
1147628	56.7
1147629	51.8
1147630	55.2
1147631	47.1
1147632	54.6
1147633	57.6
1147634	61.8
1147635	55.1
1147636	50.4
1147637	57.4
1147638	53.6
1147639	55
1147640	61.3
1147641	47.6
1147642	62.2
1147643	58.7
1147644	63
1147645	56.6
1147646	58.2
1147647	50.2
1147648	59.5
1147649	58.4
1147650	56.3
1147651	59.2
1147652	51.7
1147653	58.1
1147654	54.1
1147655	59.8
1147656	16.4
1147701	61
1147703	51.4
1147704	57.8
1147706	55.3
1147707	69.5
1147708	60.3
1147709	55.6
1147710	60.2
1147711	43.8
1147712	56.3
1147713	47.5
1147714	60
1147715	53.3
1147716	50
1147717	42.3
1147718	67.6
1147719	57.1
1147720	63.8
1147721	61.5
1147722	47.9
1147724	54.9
1147725	64
1147726	62.6
1147727	57.6
1147728	60.6
1147729	60.9
1147730	175
1147731	68
1147732	64
1147733	53.5
1147734	56.8
1147735	55.7
1147736	56.5
1147737	62.7
1147738	63.7
1147739	62.5
1147740	65.4
1147741	27.8
1147742	61.2
1147743	64.4
1147744	57.4
1147745	63.6
1147746	60.7
1147747	54.8
1147748	50.6
1147749	50
1147750	50.1
1147751	59.5
1147752	53.5
1147801	68.1
1147802	64.1
1147803	38.6
1147804	54.8
1147805	53.9
1147806	22.2
1147807	52.4
1147808	50
1147809	48.1
1147810	59.9
1147811	59.8
1147812	45.3
1147813	64.5
1147814	48.6
1147815	57.6
1147816	61.6
1147817	57.9
1147818	55.7
1147819	59.2
1147820	43.2
1147821	55
1147822	49.4
1147823	55.3
1147824	57.7
1147825	63.8
1147826	57.5
1147827	59.6
1147828	39.9
1147829	56
1147830	69.8
1147831	55.9
1147832	53.6
1147833	58.5
1147834	55.9
1147835	60.2
1147836	62.4
1147837	59.5
1147838	55.8
1147901	36.8
1147902	52
1147903	46.9
1147904	49.9
1147905	43.8
1147906	47.4
1147907	45.9
1147908	49.9
1147909	30
1147910	53.9
1147911	52.9
1147912	34.1
1147913	50.4
1147914	42.8
1147915	34.1
1147916	36.3
1147918	48.7
1147919	46.5
1147920	38.1
1147921	49.6
1147922	43.4
1147923	44.9
1147924	45.3
1147925	44.2
1147926	54.7
1147927	48.6
1147929	38.5
1147930	51.3
1147931	24.8
1147932	46.6
1147933	41
1147934	47.9
1147935	2.6
1147939	47.7
1147940	44.7
1147941	43.4
1147942	54
1147943	47.9
1148001	44.7
1148002	34.8
1148003	30.4
1148004	38.2
1148005	44.4
1148006	43.3
1148007	42.8
1148008	42.3
1148009	45
1148010	43.6
1148011	48.4
1148012	40.7
1148013	44.7
1148014	41.1
1148015	43.4
1148016	29.8
1148017	25.1
1148018	12.5
1148019	39.4
1148020	39.3
1148021	38.5
1148022	34.6
1148023	36.9
1148024	46.9
1148025	35.1
1148026	35.6
1148027	31.4
1148028	35.1
1148029	47.3
1148030	44.4
1148031	41.4
1148032	40.5
1148101	54
1148102	53
1148103	49.8
1148104	52.3
1148105	45.6
1148106	52.8
1148107	46.9
1148108	54.2
1148109	29.4
1148110	45.8
1148111	53.5
1148112	49
1148113	45.1
1148114	52.9
1148115	34.6
1148116	46.8
1148117	48.3
1148118	52.2
1148119	49.8
1148120	50.4
1148121	54.4
1148122	47.3
1148123	48.5
1148124	48.1
1148125	54.5
1148126	43.9
1148127	42.6
1148128	53.7
1148129	51.7
1148130	52.5
1148131	47.5
1148132	43.1
1148134	50
1148135	65.9
1148136	56.5
1148137	58.5
1148138	47.2
1148139	50
1148140	45
1148141	42.9
1148142	46.8
1148145	55.6
1148146	49.6
1148202	73.5
1148203	76.6
1148205	58.6
1148206	56.5
1148208	66.3
1148209	61.1
1148210	57.8
1148211	57.1
1148212	54.5
1148213	54.5
1148214	44.4
1148215	53.8
1148216	53.3
1148217	47.4
1148218	54.1
1148219	50.2
1148220	57.1
1148221	54.6
1148222	49.5
1148223	54.1
1148224	58.3
1148225	52.8
1148226	55.5
1148227	48.3
1148228	58.3
1148229	48.4
1148230	53.2
1148231	65.1
1148232	58.2
1148233	48.5
1148234	61.6
1148235	53.8
1148236	60.3
1148237	45.8
1148238	59.7
1148239	61.4
1148240	57.8
1148241	53.6
1148242	62.2
1148243	60.2
1148244	55.1
1148245	58.4
1148246	59.1
1148247	56.5
1148248	55.5
1148249	58.2
1148250	52.6
1148251	67.5
1148252	56.9
1148253	62
1148254	35.6
1148255	52.9
1148257	59.6
1148258	56.2
1148259	71.9
1148260	71.6
1148261	72.7
1148262	76.4
1148263	70.2
1148264	44.9
1148301	39.8
1148302	41.8
1148303	45.5
1148304	39.3
1148305	49.1
1148306	50
1148307	37
1148308	31.4
1148309	38.7
1148310	33.2
1148311	34.4
1148312	42.3
1148313	40.5
1148314	31.4
1148316	50
1148317	38.4
1148318	44.5
1148319	42.2
1148320	31.3
1148321	43.7
1148322	41
1148323	43.3
1148324	45
1148325	38.5
1148326	48.1
1148327	45.4
1148328	47.3
1148329	31.9
1148330	34.3
1148331	41.2
1148332	48.2
1148333	44.2
1148334	87.5
1148335	44
1148336	42.8
1148337	41.1
1148338	36.7
1148339	42.5
1148340	37.7
1148341	38
1148342	37.2
1148343	37.4
1148344	43.2
1148401	44.5
1148402	54.2
1148403	48.9
1148404	49.6
1148405	45
1148406	45.1
1148407	49.1
1148408	46.7
1148409	19
1148410	47.7
1148411	58.4
1148412	50.7
1148413	48.9
1148414	55.9
1148415	47.8
1148416	52.1
1148417	47.2
1148419	47.9
1148420	58.4
1148421	47.9
1148422	52.5
1148423	49
1148424	42.5
1148425	50.7
1148426	46.6
1148427	59
1148428	52.6
1148429	50.2
1148430	56.8
1148431	54.8
1148432	42.8
1148433	52.5
1148434	45
1148435	52.1
1148436	54.8
1148437	52.6
1148438	54.3
1148439	51.1
1148440	40.3
1148441	49.8
1148442	41.7
1148501	57.5
1148502	58.4
1148503	59.3
1148504	63
1148505	52.4
1148506	48.9
1148507	50.6
1148508	42.1
1148509	54.5
1148510	44.8
1148511	46.8
1148512	53.4
1148513	51.9
1148514	43.6
1148515	53.6
1148516	40.2
1148517	58.5
1148518	48
1148519	52.2
1148520	54.4
1148521	56
1148522	62
1148523	47.7
1148524	49.8
1148525	46
1148527	53.4
1148528	45.3
1148529	50.4
1148530	48.7
1148531	45.6
1148532	48
1148533	51.6
1148534	42.6
1148535	44.4
1148536	45.7
1148537	41.1
1148538	47.7
1148539	52.6
1148540	51.6
1148541	49.9
1148542	43.1
1148543	54.6
1148544	48.6
1148545	49.8
1148546	48.5
1148547	52.4
1148548	48.7
1148549	51.7
1148550	46.9
1148551	50.4
1148552	55.9
1148553	46.2
1148554	48.4
1148555	54.5
1148556	48.1
1148557	54.3
1148558	53.8
1148559	69.1
1148561	63.5
1148601	112.5
1148701	54.5
1148901	67.9
1148902	67.1
1148903	62.2
1148904	66.5
1148905	65.2
1148906	65.8
1148907	44.9
1148908	59.7
1148909	66.8
1148910	62.9
1148911	68
1148912	52.2
1148913	61.8
1148914	6.6
1148915	54.5
1148916	43.3
1148917	13.5
1148918	57.9
1148919	67.6
1148920	70.7
1148921	59.2
1148922	56.1
1148923	37
1148924	47
1148925	59.1
1148926	49
1148927	27.4
1148928	58.2
1148929	60.6
1148930	69.5
1148931	60.9
1148932	63.3
1148933	62.3
1148934	54.7
1148935	63.6
1148936	60
1148937	33.2
1148938	64.3
1148939	51.9
1148940	61
1148941	63.3
1148942	63.4
1148943	61.2
1148944	56.5
1148945	65.8
1148946	67.6
1148947	60.1
1148948	43.2
1148949	53.1
1148950	59
1149001	58.8
1149002	63.8
1149003	62
1149004	61.2
1149005	56.1
1149006	59
1149007	55.7
1149008	60.4
1149009	63.4
1149010	69.2
1149011	67.3
1149012	54.1
1149013	54.7
1149014	59.6
1149015	62.7
1149016	65.4
1149017	51
1149018	65.7
1149101	55.7
1149102	59.8
1149103	63.3
1149105	70.5
1149110	15.9
1149111	63
1149112	61.9
1149113	64.9
1149114	70.9
1149115	56.8
1149116	41.1
1149117	66.2
1149118	63.3
1149119	61.7
1149120	27.3
1149121	60.7
1149122	65.9
1149123	73.8
1149124	56.9
1149125	53.9
1149126	68.8
1149128	72.6
1149130	63.7
1149133	62.9
1149134	66.4
1149136	66.1
1149137	69.6
1149138	68.9
1149139	61
1149140	55
1149141	65.3
1149142	72
1149143	68.1
1149145	61.7
1149147	68
1149148	73.1
1149149	54.2
1149150	60.8
1149151	64.5
1149152	68.2
1149153	71.4
1149154	40.9
1149201	52.5
1149202	56.8
1149203	56.2
1149205	62.9
1149206	58
1149207	60.9
1149208	65
1149210	60
1149212	63.1
1149213	60.4
1149214	58.9
1149215	50.8
1149216	59.9
1149217	53.3
1149218	56.7
1149219	57
1149220	63.3
1149221	61.9
1149222	52.7
1149223	69
1149224	54.5
1149225	54
1149226	51.7
1149227	52
1149228	58.3
1149229	62.5
1149230	61.3
1149231	60.7
1149232	67.6
1149233	56.4
1149234	57.7
1149236	62.5
1149237	58.6
1149238	62.3
1149239	56.8
1149240	56.7
1149241	60.9
1149242	59.8
1149243	53.7
1149244	51.7
1149245	62.1
1149246	62
1149247	56.6
1149248	50.4
1149249	60
1149250	51.9
1149251	57.9
1149252	57.3
1149253	62.3
1149254	64.1
1149255	66.7
1149256	62.6
1149257	59.4
1149258	66.1
1149259	62.2
1149301	67.4
1149302	69
1149303	32.8
1149304	46.7
1149305	61
1149306	58
1149307	60
1149308	1.3
1149309	59.4
1149310	52.2
1149311	34.2
1149312	62.4
1149313	45.7
1149314	59.9
